,Temperature (F),Humidity (%),"Pressure (""Hg)"
0,59,0.72,30.20 
1,71,0.77,30.24 
2,66,0.58,30.06 
3,73,0.68,30.05 
4,76,0.8,30.03 
5,81,0.78,30.03 
6,82,0.79,30.06 
7,82,0.79,30.09 
8,83,0.79,30.02 
9,78,0.77,30.03 
10,69,0.78,30.06 
11,64,0.81,30.11 
12,54,0.66,30.12 
13,56,0.67,30.00 
14,61,0.65,29.97 
15,71,0.69,30.05 
16,78,0.74,30.02 
17,82,0.75,30.03 
18,83,0.76,30.05 
19,82,0.79,29.98 
20,80,0.77,29.96 
21,74,0.66,30.02 
22,67,0.71,30.09 
23,52,0.61,30.10 
24,58,0.69,30.08 
25,64,0.72,30.14 
26,68,0.67,30.11 
27,75,0.65,30.05 
28,77,0.65,30.00 
29,81,0.71,30.01 
30,82,0.75,30.01 
31,82,0.77,29.92 
32,81,0.76,29.97 
33,73,0.71,29.98 
34,68,0.74,30.11 
35,65,0.76,30.19 
36,61,0.68,30.19 
37,67,0.71,30.14 
38,72,0.68,30.14 
39,73,0.61,30.01 
40,78,0.69,29.98 
41,79,0.77,29.96 
42,82,0.73,30.06 
43,81,0.79,30.02 
44,80,0.75,30.02 
45,75,0.71,29.96 
46,64,0.69,30.14 
47,64,0.74,30.10 
48,66,0.73,30.19 
49,65,0.66,30.08 
50,62,0.57,30.09 
51,73,0.74,30.06 
52,74,0.72,30.05 
53,80,0.8,30.02 
54,79,0.81,30.07 
55,82,0.78,30.04 
56,80,0.78,29.98 
57,76,0.72,30.03 
58,70,0.75,30.12 
59,67,0.75,30.16 
60,58,0.71,30.14 
61,65,0.75,30.07 
62,66,0.69,30.04 
63,73,0.7,30.03 
64,77,0.69,30.09 
65,80,0.74,30.05 
66,81,0.79,30.04 
67,83,0.75,30.01 
68,80,0.8,30.02 
69,75,0.7,30.01 
70,65,0.72,30.13 
71,65,0.76,30.14 
72,61,0.74,30.18 
73,60,0.69,30.11 
74,72,0.72,30.13 
75,76,0.73,30.02 
76,79,0.67,30.11 
77,81,0.75,30.06 
78,82,0.81,30.03 
79,81,0.83,30.00 
80,81,0.83,29.96 
81,75,0.78,29.98 
82,74,0.75,30.10 
83,72,0.79,30.11 
84,60,0.7,30.07 
85,62,0.63,30.13 
86,72,0.66,30.09 
87,74,0.61,30.05 
88,78,0.63,30.02 
89,82,0.73,30.02 
90,84,0.73,30.10 
91,82,0.79,30.04 
92,81,0.8,30.03 
93,75,0.74,30.02 
94,69,0.69,30.12 
95,68,0.75,30.17 
96,64,0.74,30.13 
97,67,0.73,30.07 
98,68,0.63,30.17 
99,74,0.62,30.06 
100,79,0.67,29.99 
101,79,0.86,30.00 
102,82,0.81,30.06 
103,82,0.82,30.01 
104,80,0.82,29.93 
105,79,0.7,30.01 
106,70,0.79,30.06 
107,65,0.77,30.15 
