NYC_PL
,Temperature (F),Humidity (%),"Pressure (""Hg)"
0,33,0.62,30.16
1,42,0.71,30.19
2,39,0.61,29.89
3,49,0.6,29.98
4,65,0.7,30.04
5,71,0.67,29.93
6,77,0.71,30.06
7,77,0.75,30.01
8,70,0.81,30.16
9,58,0.73,30.03
10,45,0.68,30.02
11,42,0.7,30.06
12,32,0.58,29.95
13,33,0.64,29.81
14,48,0.59,29.87
15,57,0.52,29.92
16,65,0.62,30
17,74,0.64,29.89
18,80,0.58,29.94
19,77,0.63,29.98
20,71,0.64,29.96
21,58,0.63,29.89
22,48,0.6,30.08
23,33,0.57,29.87
24,30,0.61,29.97
25,36,0.53,30
26,42,0.55,30.12
27,54,0.66,29.93
28,63,0.73,29.96
29,72,0.69,29.9
30,79,0.64,29.91
31,74,0.73,29.86
32,69,0.8,30.02
33,57,0.69,29.98
34,52,0.66,30.09
35,44,0.62,30.15
36,37,0.62,30
37,41,0.56,30.02
38,50,0.6,30.1
39,54,0.5,29.88
40,64,0.74,30.01
41,71,0.65,29.93
42,78,0.64,29.93
43,76,0.68,29.98
44,68,0.68,30.02
45,58,0.72,29.95
46,43,0.61,30.16
47,41,0.7,30
48,35,0.6,30.12
49,34,0.62,29.98
50,40,0.57,29.92
51,52,0.53,30.12
52,62,0.65,30.06
53,72,0.67,29.92
54,79,0.68,30.02
55,74,0.64,30.02
56,67,0.61,30.02
57,60,0.61,30.06
58,45,0.53,30.16
59,39,0.63,30.1
60,29,0.58,30.08
61,32,0.57,30.04
62,38,0.47,30.01
63,52,0.54,30.04
64,63,0.59,30
65,72,0.62,29.99
66,75,0.64,29.95
67,74,0.6,30.02
68,69,0.63,30.1
69,60,0.64,29.93
70,45,0.55,30.03
71,40,0.65,30.11
72,30,0.54,30.1
73,24,0.53,30.06
74,38,0.54,30.09
75,54,0.5,29.98
76,67,0.57,30.12
77,71,0.66,29.97
78,78,0.59,29.91
79,78,0.54,29.98
80,74,0.6,30.07
81,58,0.57,30.09
82,53,0.6,30.18
83,51,0.66,30.09
84,35,0.51,29.98
85,38,0.55,30
86,48,0.51,30.02
87,52,0.49,30.03
88,62,0.6,29.98
89,72,0.57,29.93
90,78,0.65,29.95
91,79,0.65,30.03
92,71,0.65,30.09
93,58,0.68,30.1
94,50,0.58,30.04
95,39,0.59,30.11
96,38,0.69,29.99
97,41,0.59,29.93
98,39,0.55,30.1
99,56,0.66,30
100,60,0.7,29.88
101,72,0.65,29.92
102,76,0.69,29.96
103,73,0.7,30.02
104,70,0.69,30.02
105,64,0.69,30.08
106,47,0.62,30.11
107,35,0.62,30.04
