,Temperature (F),Humidity (%),"Pressure (""Hg)"
0,45,0.85,30.03
1,42,0.77,30.16
2,46,0.73,30.01
3,51,0.72,30.02
4,60,0.65,30.05
5,62,0.63,30.05
6,70,0.54,30.09
7,68,0.62,30.02
8,62,0.67,30.02
9,53,0.8,30.07
10,48,0.79,30.09
11,44,0.78,30.08
12,48,0.76,29.84
13,47,0.74,29.95
14,48,0.7,30.01
15,51,0.67,29.93
16,54,0.69,30.03
17,59,0.68,30.06
18,65,0.63,30.04
19,66,0.63,29.97
20,62,0.74,29.97
21,54,0.76,30.04
22,45,0.79,30.05
23,44,0.74,29.87
24,43,0.8,30.17
25,40,0.76,30.07
26,46,0.77,29.87
27,46,0.74,30.05
28,53,0.69,30.01
29,59,0.7,30
30,63,0.67,30.02
31,66,0.65,30.01
32,64,0.68,30.02
33,53,0.83,30.07
34,43,0.81,30
35,40,0.86,30.3
36,40,0.81,30.09
37,44,0.76,30.08
38,44,0.76,29.87
39,52,0.71,29.99
40,55,0.65,30.08
41,58,0.71,30
42,64,0.68,30.04
43,67,0.62,30.01
44,62,0.66,30.11
45,54,0.76,30
46,47,0.82,29.97
47,43,0.81,29.9
48,40,0.8,30.22
49,46,0.75,30.19
50,48,0.69,30.12
51,51,0.68,30.13
52,59,0.63,30.07
53,65,0.6,30.03
54,68,0.57,30.04
55,69,0.61,29.99
56,63,0.72,29.89
57,52,0.77,30.15
58,47,0.75,30.11
59,40,0.76,30.28
60,45,0.8,30.2
61,43,0.68,29.97
62,50,0.71,30
63,54,0.64,30.05
64,61,0.62,30.06
65,63,0.61,30.03
66,71,0.56,30.04
67,71,0.59,30
68,66,0.63,29.96
69,60,0.74,29.93
70,48,0.68,30.08
71,47,0.71,30.02
72,47,0.79,30.21
73,51,0.72,30.1
74,53,0.67,30.12
75,53,0.62,30.09
76,61,0.62,30
77,70,0.5,30.02
78,73,0.51,29.99
79,70,0.55,29.97
80,62,0.66,30
81,59,0.74,30.01
82,46,0.74,30.08
83,45,0.77,29.89
84,44,0.85,29.95
85,48,0.82,30.12
86,49,0.76,29.92
87,57,0.69,30.07
88,60,0.65,30.04
89,64,0.65,30.08
90,67,0.65,30.06
91,69,0.61,30.02
92,61,0.67,30.09
93,55,0.83,29.86
94,51,0.86,29.95
95,39,0.83,30.12
96,38,0.76,30.01
97,42,0.84,29.86
98,46,0.86,30.01
99,51,0.78,30
100,58,0.74,30.03
101,63,0.71,30.03
102,67,0.64,30.1
103,70,0.66,30.01
104,64,0.7,29.98
105,52,0.78,30.09
106,47,0.82,29.92
107,40,0.86,30.27
